mode,sut,latency,path
base,5-c,0.0002,base/5-c/3.trace.txt
base,5-c,0.0003,base/5-c/9.trace.txt
base,5-c,0.0002,base/5-c/1.trace.txt
base,5-c,0.0002,base/5-c/8.trace.txt
base,5-c,0.0002,base/5-c/4.trace.txt
base,5-c,0.0002,base/5-c/6.trace.txt
base,5-c,0.0002,base/5-c/5.trace.txt
base,5-c,0.0002,base/5-c/10.trace.txt
base,5-c,0.0002,base/5-c/7.trace.txt
base,5-c,0.0002,base/5-c/2.trace.txt
base,7-rust,0.0003,base/7-rust/3.trace.txt
base,7-rust,0.0003,base/7-rust/9.trace.txt
base,7-rust,0.0004,base/7-rust/1.trace.txt
base,7-rust,0.0004,base/7-rust/8.trace.txt
base,7-rust,0.0003,base/7-rust/4.trace.txt
base,7-rust,0.0003,base/7-rust/6.trace.txt
base,7-rust,0.0004,base/7-rust/5.trace.txt
base,7-rust,0.0004,base/7-rust/10.trace.txt
base,7-rust,0.0003,base/7-rust/7.trace.txt
base,7-rust,0.0004,base/7-rust/2.trace.txt
base,8-golang,0.0008,base/8-golang/3.trace.txt
base,8-golang,0.0009,base/8-golang/9.trace.txt
base,8-golang,0.0009,base/8-golang/1.trace.txt
base,8-golang,0.0007,base/8-golang/8.trace.txt
base,8-golang,0.0008,base/8-golang/4.trace.txt
base,8-golang,0.0009,base/8-golang/6.trace.txt
base,8-golang,0.0009,base/8-golang/5.trace.txt
base,8-golang,0.0007,base/8-golang/10.trace.txt
base,8-golang,0.001,base/8-golang/7.trace.txt
base,8-golang,0.0009,base/8-golang/2.trace.txt
base,2-bash,0.0006,base/2-bash/3.trace.txt
base,2-bash,0.0005,base/2-bash/9.trace.txt
base,2-bash,0.0006,base/2-bash/1.trace.txt
base,2-bash,0.0005,base/2-bash/8.trace.txt
base,2-bash,0.0008,base/2-bash/4.trace.txt
base,2-bash,0.0006,base/2-bash/6.trace.txt
base,2-bash,0.0006,base/2-bash/5.trace.txt
base,2-bash,0.0006,base/2-bash/10.trace.txt
base,2-bash,0.0005,base/2-bash/7.trace.txt
base,2-bash,0.0005,base/2-bash/2.trace.txt
base,1-dash,0.0003,base/1-dash/3.trace.txt
base,1-dash,0.0002,base/1-dash/9.trace.txt
base,1-dash,0.0003,base/1-dash/1.trace.txt
base,1-dash,0.0002,base/1-dash/8.trace.txt
base,1-dash,0.0003,base/1-dash/4.trace.txt
base,1-dash,0.0003,base/1-dash/6.trace.txt
base,1-dash,0.0003,base/1-dash/5.trace.txt
base,1-dash,0.0002,base/1-dash/10.trace.txt
base,1-dash,0.0002,base/1-dash/7.trace.txt
base,1-dash,0.0002,base/1-dash/2.trace.txt
base,6-cpp,0.0007,base/6-cpp/3.trace.txt
base,6-cpp,0.0006,base/6-cpp/9.trace.txt
base,6-cpp,0.0006,base/6-cpp/1.trace.txt
base,6-cpp,0.0007,base/6-cpp/8.trace.txt
base,6-cpp,0.0006,base/6-cpp/4.trace.txt
base,6-cpp,0.0008,base/6-cpp/6.trace.txt
base,6-cpp,0.0007,base/6-cpp/5.trace.txt
base,6-cpp,0.0006,base/6-cpp/10.trace.txt
base,6-cpp,0.0007,base/6-cpp/7.trace.txt
base,6-cpp,0.0006,base/6-cpp/2.trace.txt
base,4-python,0.0083,base/4-python/3.trace.txt
base,4-python,0.0089,base/4-python/9.trace.txt
base,4-python,0.0088,base/4-python/1.trace.txt
base,4-python,0.0086,base/4-python/8.trace.txt
base,4-python,0.0087,base/4-python/4.trace.txt
base,4-python,0.0086,base/4-python/6.trace.txt
base,4-python,0.0087,base/4-python/5.trace.txt
base,4-python,0.0083,base/4-python/10.trace.txt
base,4-python,0.0098,base/4-python/7.trace.txt
base,4-python,0.0088,base/4-python/2.trace.txt
base,3-zsh,0.0007,base/3-zsh/3.trace.txt
base,3-zsh,0.0008,base/3-zsh/9.trace.txt
base,3-zsh,0.0008,base/3-zsh/1.trace.txt
base,3-zsh,0.0008,base/3-zsh/8.trace.txt
base,3-zsh,0.0009,base/3-zsh/4.trace.txt
base,3-zsh,0.0009,base/3-zsh/6.trace.txt
base,3-zsh,0.001,base/3-zsh/5.trace.txt
base,3-zsh,0.0007,base/3-zsh/10.trace.txt
base,3-zsh,0.0008,base/3-zsh/7.trace.txt
base,3-zsh,0.0008,base/3-zsh/2.trace.txt
no_cache,5-c,0.0002,no_cache/5-c/3.trace.txt
no_cache,5-c,0.0002,no_cache/5-c/9.trace.txt
no_cache,5-c,0.0002,no_cache/5-c/1.trace.txt
no_cache,5-c,0.0002,no_cache/5-c/8.trace.txt
